patient_no,username,password,visit_date,cosite,cttested,ctresult,gctested,gcresult,hivtested,hivresult,syphtested,syphresult,hepbtested,hepbresult,hepctested,hepcresult
100,10033,10034,30-Dec-09,E,1,Pending,1,Pending,1,Pending,1,Pending,1,Pending,1,Pending
100,10033,10034,30-Dec-09,E,1,Pending,1,Positive and treated,1,Pending,1,Negative,1,Pending,1,Pending
100,10033,10034,30-Dec-09,E,1,Negative,1,Positive and treated,1,Negative,1,Negative,1,Immune,1,Negative
101,10133,10134,23-May-09,C,1,Come back to clinic,1,Negative,1,Negative,1,Negative,0,,0,
102,10233,10234,30-Dec-09,D,1,Pending,1,Pending,0,,0,,1,Pending,1,Pending
100223,189738,657114,19-Jul-14,D,1,,1,,1,Negative,1,Negative,0,,0,
100359,387905,754367,15-Nov-09,E,0,,1,Negative,1,Negative,1,Negative,0,,0,
100359,342585,296206,17-Mar-10,E,0,,1,Negative,1,,1,Negative,0,,0,
100359,360211,494060,14-Sep-11,E,0,,1,Negative,1,Negative,1,Negative,0,,0,
100109,307530,640676,25-Sep-10,E,0,,1,Negative,1,Negative,1,Negative,0,,0,
100223,643544,816794,16-Feb-11,D,0,,1,Negative,1,Negative,1,Negative,0,,0,
100109,677368,569650,27-Nov-11,E,0,,1,Negative,1,Negative,1,Negative,0,,0,
100159,598299,960667,21-Apr-13,E,0,,0,,1,Negative,1,Negative,0,,0,
100255,689996,539614,19-Dec-10,E,1,Negative,1,Negative,0,,1,Negative,0,,0,
100255,992275,978780,4-Dec-11,E,1,Negative,1,Negative,0,,1,Negative,0,,0,
100306,366850,985955,5-May-10,E,0,,1,Negative,0,,1,Negative,0,,0,
100109,471973,122589,10-Jun-09,E,1,Negative,1,Negative,1,Negative,1,Negative,0,,0,
100359,731151,480053,7-Jun-09,E,1,Negative,1,Negative,1,Negative,1,Negative,0,,0,
100109,662321,211797,25-Sep-09,E,1,Negative,1,Negative,1,Negative,1,Negative,0,,0,
100109,873447,886971,18-Mar-10,E,1,Negative,1,Negative,1,Negative,1,Negative,0,,0,
100092,691590,372964,25-Mar-10,D,1,,1,,1,Negative,1,Negative,0,,0,
100092,310124,146323,17-Dec-11,D,0,,1,Negative,0,,1,Negative,0,,0,
100256,183577,207102,26-Dec-09,E,0,,1,Negative,1,Negative,1,Negative,0,,0,
100186,519133,777059,5-Aug-11,E,0,,1,Negative,1,Negative,1,Negative,0,,0,
100290,894733,395479,2-Jun-10,E,0,,1,Negative,1,Negative,1,Negative,0,,0,
100135,933645,596330,21-Jan-12,D,0,,1,Negative,1,Negative,1,Negative,0,,0,
100292,139450,206907,31-Jan-09,E,0,,1,"""7190""",1,Negative,1,Negative,0,,0,
100235,381025,100387,25-Jan-09,D,0,,1,Negative,1,Negative,1,Negative,0,,0,
100140,481501,621733,20-Apr-11,E,0,,1,Negative,1,Negative,1,Negative,0,,0,
100292,824749,900596,5-Dec-09,E,0,,1,Negative,1,Negative,1,Negative,0,,0,
100292,554322,662279,17-Apr-10,D,0,,1,Negative,1,Negative,1,Negative,0,,0,
100256,808647,329268,10-Oct-12,E,0,,1,Negative,1,Negative,1,Negative,0,,0,
100047,539281,296773,26-Jan-12,E,0,,1,Negative,1,Negative,1,Negative,0,,0,
100292,136823,489917,14-Jun-12,E,0,,1,Negative,1,Negative,1,Negative,0,,0,
100186,398674,843928,24-Feb-13,D,0,,1,Negative,1,Negative,1,Negative,0,,0,
100047,334543,546696,6-Jul-12,E,0,,1,"#+!ads8""",1,Negative,1,Negative,0,,0,
100331,494743,379168,20-Sep-12,E,0,,1,Negative,1,Negative,1,Negative,0,,0,
100292,503610,681472,26-Feb-14,E,0,,1,Negative,1,Negative,1,Negative,0,,0,
100047,440467,544198,17-May-13,E,0,,1,"""7193k",1,Negative,1,Negative,0,,0,
100135,288829,489009,22-Jun-14,D,0,,1,Negative,1,Negative,1,Negative,0,,0,
100041,366915,820778,14-May-09,D,0,,1,Negative,1,Negative,1,,0,,0,
100053,219823,670365,20-Aug-09,E,0,,1,Negative,1,Pending,1,Pending,0,,0,
100267,407288,530201,18-Jul-10,E,0,,1,Negative,1,Negative,1,Negative,0,,0,
100346,507877,665815,26-Nov-10,D,0,,1,Negative,1,Negative,1,Negative,0,,0,
100183,392530,542045,31-May-12,D,0,,1,Negative,1,Negative,1,Negative,0,,0,
100284,186905,105353,5-Sep-14,D,0,,1,Negative,1,Negative,1,Negative,0,,0,
100304,899049,228056,4-Apr-14,E,0,,1,Come back to clinic,1,Negative,1,Negative,0,,0,
100280,692435,830959,24-May-09,E,0,,0,,1,Negative,1,Negative,0,,0,
100284,743457,885671,14-Mar-13,D,0,,0,,1,Negative,1,Negative,0,,0,
100284,153746,645384,23-May-12,D,0,,0,,1,Come back to clinic,1,Negative,0,,0,
100135,679231,106556,12-Oct-14,D,1,Come back to clinic,1,Negative,0,,1,Negative,0,,0,
100055,107243,754044,13-Aug-14,E,0,,1,Negative,0,,1,Negative,0,,0,
100091,751777,501443,25-Aug-12,E,0,,1,Negative,0,,1,Negative,0,,0,
100091,317696,493782,14-Mar-09,E,0,,1,Negative,0,,1,Negative,0,,0,
100091,610869,972821,10-Jan-10,E,0,,1,Negative,0,,1,Negative,0,,0,
100091,857510,396311,18-Jun-09,E,0,,1,Negative,0,,1,Negative,0,,0,
100091,424008,337652,7-Feb-14,D,0,,1,Negative,0,,1,Negative,0,,0,
100091,947639,228372,18-Jun-14,D,0,,1,Negative,0,,1,Negative,0,,0,
100091,115916,477757,18-Aug-13,E,0,,1,Pending,0,,1,Negative,0,,0,
100053,149199,561919,28-Nov-08,E,0,,1,,0,,1,Negative,0,,0,
100256,488888,774887,4-Feb-09,E,0,,1,Negative,0,,1,Negative,0,,0,
100058,318050,102789,1-Apr-09,E,0,,1,Negative,0,,1,Negative,0,,0,
100290,239245,687520,25-May-11,D,0,,1,Negative,0,,1,Negative,0,,0,
100186,709408,304344,29-Dec-11,E,0,,1,Negative,0,,1,Negative,0,,0,
100267,821728,887629,1-Nov-12,E,0,,1,Negative,0,,1,Negative,0,,0,
100091,608273,340594,7-Oct-09,E,0,,1,Negative,0,,1,Negative,0,,0,
100091,870027,835425,5-Mar-10,D,0,,1,Negative,0,,1,Negative,0,,0,
100136,401743,116150,29-Dec-12,D,0,,1,Negative,1,Negative,1,Come back to clinic,0,,0,
100109,270324,855343,16-May-10,E,1,Negative,1,Negative,0,,0,,0,,0,
100109,410447,166491,22-Dec-10,E,1,Negative,1,Negative,0,,0,,0,,0,
100255,439351,893310,12-Jan-11,E,1,Negative,1,Negative,0,,0,,0,,0,
100109,412518,728122,15-Aug-13,E,1,Pending,1,Negative,0,,0,,0,,0,
100255,857788,180808,14-Mar-12,E,1,,1,Negative,0,,0,,0,,0,
100255,754783,784241,16-May-13,E,1,Negative,1,Negative,0,,0,,0,,0,
100293,610672,590514,20-Mar-14,E,1,,1,Negative,0,,0,,0,,0,
100339,251080,454839,5-Jun-09,E,1,,1,,0,,0,,0,,0,
100255,421934,470591,27-May-12,E,1,Positive and treated,1,Negative,0,,0,,0,,0,
100109,874261,441038,3-Jan-10,E,0,,1,Negative,0,,0,,0,,0,
100255,438175,402733,19-Dec-09,E,0,,1,Negative,0,,0,,0,,0,
100359,681114,213791,9-Nov-11,D,0,,1,Negative,0,,0,,0,,0,
100293,677841,359216,23-Oct-13,E,0,,1,Negative,0,,0,,0,,0,
100293,238342,545200,10-Apr-14,E,0,,1,Negative,0,,0,,0,,0,
100109,556826,556544,3-Oct-10,E,0,,0,,0,,0,,0,,0,
100255,172252,673086,28-Dec-11,E,0,,0,,0,,0,,0,,0,
100255,703524,358764,3-Feb-11,E,0,,0,,0,,0,,0,,0,
100109,483321,321076,29-Oct-10,E,0,,0,,0,,0,,0,,0,
100350,762384,219868,27-Nov-08,E,0,,1,Negative,0,,0,,0,,0,
100292,893005,442931,27-Mar-09,E,0,,1,Negative,0,,0,,0,,1,Negative
100058,378246,653920,8-Mar-09,E,0,,1,Negative,0,,0,,0,,1,Negative
100292,521416,459542,14-Feb-10,E,0,,1,Negative,0,,0,,0,,1,Negative
100186,888877,200882,25-Sep-11,E,0,,1,Negative,0,,0,,0,,1,Haokel
100186,687030,765334,10-Oct-12,E,0,,1,Negative,0,,0,,0,,1,Pending
100091,906332,866290,3-Dec-08,E,0,,1,Negative,0,,0,,0,,1,Positive
100091,963668,366479,2-Sep-11,D,0,,1,Negative,0,,1,,1,,1,Positive
100091,564341,886918,15-Mar-12,D,0,,1,Negative,0,,1,,1,Pending,1,
100091,503973,436365,23-Nov-13,D,0,,1,Positive and treated,0,,1,,1,Immune,1,Negative
100135,895733,201261,20-Apr-14,D,0,,1,Come back to clinic,0,,1,Positive and treated,1,Immune,0,
100194,505256,571248,5-Nov-11,D,0,,0,,0,,1,Pending,1,Pending,1,Pending
100194,505256,571248,5-Nov-11,D,0,,0,,0,,1,Positive and treated,1,Need vaccination,1,Negative
100092,281252,418170,18-Jan-12,D,0,,0,,0,,1,Come back to clinic,1,Need vaccination,0,
100092,900378,335581,13-Jan-13,E,0,,0,,0,,1,Come back to clinic,1,Hep B infected,1,Negative
100091,244607,929403,25-Sep-10,E,0,,1,Negative,0,,0,,1,Hep B infected,1,Positive
100091,272072,843621,6-May-11,E,0,,1,Negative,0,,0,,1,Hep B infected,0,
